population nonwhite density crime
AKRON 675 7.3 746 2602
ALBANY 713 2.6 322 1388
ALBUQUERQUE NA 3.3 NA 5018
ALLENTOWN 534 0.8 491 1182
ANAHEIM 1261 1.4 1612 3341
ATLANTA 1330 22.8 770 2805
BAKERSFIELD 331 7 41 3306
BALTIMORE 1981 21.6 877 4256
BEAUMONT 315 20.7 240 2117
BINGHAMTON 305 0.6 147 1063
BIRMINGHAM 739 32.1 272 2285
BOSTON 3239 3.4 1831 2835
BRIDGEPORT 785 5.3 1252 2630
BUFFALO 1324 6.8 832 2171
CANTON 363 5.4 630 1764
CHARLESTON.SC NA 38.5 NA 2482
CHARLESTON.W.VA NA 5.8 NA 1434
CHARLOTTE 388 24.2 328 3447
CHATTANOOGA 306 17.6 308 2643
CHICAGO 6815 14.8 1832 2680
CINCINNATI 1376 10.4 640 1780
CLEVELAND 2068 13.7 1361 3162
COLUMBIA NA 29 NA 2884
COLUMBUS 870 11 583 3037
CORPUS.CHRISTI 297 4.2 194 3077
DALLAS 1459 15 320 3701
DAVENPORT 366 2.1 215 1877
DAYTON 836 9.7 489 2392
DENVER 1129 4.2 308 4095
DES.MOINES NA 4.1 NA 2415
DETROIT 4127 13.1 2114 4283
DULUTH 271 0.8 37 1736
EL.PASO 351 3.3 332 2430
ERIE NA 2.8 NA 1181
FLINT 487 9 374 3164
FORT.LAUDERDALE 526 16.6 431 3688
FORT.WORTH 680 10.7 423 2927
FRESNO 415 7.5 70 3863
GARY 608 15.3 649 3310
GRAND.RAPIDS 514 3.4 362 2188
GREENSBORO 592 19.9 268 1987
GREENVILLE NA 16.3 NA 2602
HARRISBURG 398 6.3 245 1339
HARTFORD 802 5.4 1085 2390
HONOLULU 628 64.3 1053 3283
HOUSTON 1867 19.8 297 3511
HUNTINGTON NA 3 NA 1413
INDIANAPOLIS 1062 10.8 345 2798
JACKSONVILLE 513 23.4 670 4035
JERSEY.CITY 615 6.9 13087 2301
JOHNSTOWN 270 1.3 151 458
KANSAS.CITY 1231 10.9 445 3748
KNOXVILLE 399 7.5 281 1597
LANCASTER 302 1.3 319 627
LANSING 361 2.8 212 2991
LITTLE.ROCK 323 19.9 217 3420
LOS.ANGELES 6860 9.7 1686 4852
LOUISVILLE 802 11.6 883 3758
MEMPHIS 770 38 565 2691
MIAMI 1150 14.9 563 4460
MILWAUKEE 1344 5.3 923 1929
MINNEAPOLIS 1677 1.8 796 3231
MOBILE 382 30.8 135 2433
NASHVILLE 536 18.4 329 3185
NEW.HAVEN 726 7.7 1200 2726
NEW.ORLEANS 1064 30.9 539 3467
NEW.YORK 11551 12 5408 4732
NEWARK 1881 13.4 2683 3261
NORFOLK 653 26.4 963 3160
OKLAHOMA.CITY 605 9.4 283 2343
OMAHA 525 6 342 2663
ORLANDO 390 16.6 321 2560
PATERSON 1353 3.8 3170 1922
PEORIA 336 3.3 186 2125
PHILADELPHIA 4829 15.7 1359 1753
PHOENIX 872 5.5 94 3962
PITTSBURGH 2387 6.8 783 2127
PORTLAND 957 3 262 3627
PROVIDENCE 749 1.9 1221 2903
READING 292 1.8 338 1052
RICHMOND 515 26.3 430 3183
ROCHESTER 853 4 368 1820
SACRAMENTO 765 6.8 222 3793
ST.LOUIS 2327 14.2 565 3302
SALT.LAKE 534 1.4 504 2977
SAN.ANTONIO 850 7.1 434 3459
SAN.BERNARDINO 1086 4.7 40 3743
SAN.DIEGO 1221 5.5 286 2587
SAN.FRANCISCO 2999 12.5 1210 5441
SAN.JOSE 985 3.2 758 3000
SEATTLE 1340 4.8 317 4329
SHREVEPORT 299 34.1 171 1864
SOUTH.BEND 275 5.3 302 1973
SPOKANE 273 2 155 2130
SPRINGFIELD 554 3.1 481 2467
SYRACUSE 625 2.6 259 1577
TACOMA 401 5.1 239 2843
TAMPA 924 11.5 709 3247
TOLEDO 678 7.3 446 2050
TRENTON NA 12.9 NA 3098
TUCSON NA 6.3 NA 2705
TULSA 466 9.2 123 2840
UTICA 350 1.6 132 869
WASHINGTON 2751 24.5 1170 4019
WICHITA 406 5.8 166 2532
WILKES 340 0.3 383 613
WILMINGTON 488 11.7 419 2393
WORCESTER 612 0.9 405 2874
YORK 316 2 220 1062
YOUNGSTOWN 528 9.2 513 1698
